,Debt Category,"Amount Outstanding inUSD","Amount Outstanding inNGN",Unnamed: 3,file,"Amount Outstandingin NGN",Amount Outstanding in NGN,Unnamed: 1,Amount Outstanding,Unnamed: 4,Amount Outstanding.1,Unnamed: 6,Unnamed: 0,Amount Outstanding (US$M),Amount Outstanding (NM),"Amount Outstanding(US$M)","Amount Outstanding(NM)",% of Total,Unnamed: 5,Unnamed: 2,"AmountOutstanding",Unnamed: 8,Unnamed: 10,"AmountOutstanding(NM)"
2,,Sub-Total,,"18,376,998.77",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2380.csv,,"60,055.55",,,,,,,,,,,,,,,,,
3,B.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2380.csv,,,,,,,,,,,,,,,,,,,
4,,Domestic Debt of States*,,"3,348,774.26",c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2380.csv,,"10,943.71",,,,,,,,,,,,,,,,,
5,C.,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2380.csv,,,,,,,,,,,,,,,,,,,
6,Grand-Total (A+B),"70,999.26",,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2380.csv,,"21,725,773.03",,,,,,,,,,,,,,,,,
0,Debt Category,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2470.csv,,,in USD,in NGN,,,,,,,,,,,,,,,
1,A.   External Debt (FGN +State & FCT Only),,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2470.csv,,,,,,,,,,,,,,,,,,,
2,.   External Debt (FGN +State & FCT Only),,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2470.csv,,,"22,071.91","6,746,279.2",,,,,,,,,,,,,,,
3,B.   Domestic Debt (FGN Only),,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2470.csv,,,"41,147.58","12,576,758.18",,,,,,,,,,,,,,,
4,C.   Domestic Debt (States + FCT) *,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2470.csv,,,,,,,,,,,,,,,,,,,
5,.   Domestic Debt (States + FCT) *,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2470.csv,,,"11,059.37","3,384,166.3",,,,,,,,,,,,,,,
6,D.  Sub-Total  Domestic Debt (FGN + States & FCT),,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2470.csv,,,"52,206.95","15,960,924.50",,,,,,,,,,,,,,,
7,E. Total (A+D),,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2470.csv,,,,,,,,,,,,,,,,,,,
8,. Total (A+D),,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2470.csv,,,"74,278.86","22,707,203.7",,,,,,,,,,,,,,,
9,Debt Category,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2470.csv,,,,,,,,,,,,,,,,,,,
10,Debt Category,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2470.csv,,,,,,,,,,,,,,,,,,,
11,A.   External Debt (FGN +State & FCT Only),,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2470.csv,,,,,,,,,,,,,,,,,,,
12,.   External Debt (FGN +State & FCT Only),,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2470.csv,,,,,,,,,,,,,,,,,,,
13,C.   Domestic Debt (States + FCT) *,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2470.csv,,,,,,,,,,,,,,,,,,,
14,.   Domestic Debt (States + FCT) *,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2470.csv,,,,,,,,,,,,,,,,,,,
0,Debt Category,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2529.csv,,,,,,,,,,,,,,,,,,,
1,A.   External Debt (FGN +States + FCT ),,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2529.csv,,,,,,,,,,,,,,,,,,,
2,.   External Debt (FGN +States + FCT ),,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2529.csv,,,,,,,,,,,,,,,,,,,
3,C.   Domestic Debt (States + FCT),,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2529.csv,,,,,,,,,,,,,,,,,,,
4,.   Domestic Debt (States + FCT),,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2529.csv,,,,,,,,,,,,,,,,,,,
0,Debt Category,,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2663.csv,,,,,,,,,,,,,,,,,,,
1,C.   Domestic Debt (States + FCT),,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2663.csv,,,,,,,,,,,,,,,,,,,
2,.   Domestic Debt (States + FCT),,,,c:\Users\rotim\OneDrive - bwedu\Web Developmnet\data-analysis\ngn-debt-profile\scrapper\downloads\2663.csv,,,,,,,,,,,,,,,,,,,
