identifier,Unnamed: 0,Debt Category,Amount Outstanding in-USD,Amount Outstanding in-NGN,Unnamed: 3,Amount Outstanding-in NGN,Amount Outstanding in NGN,Unnamed: 1,Amount Outstanding,Unnamed: 4,Amount Outstanding.1,Unnamed: 6,Unnamed: 0.1,Amount Outstanding (US$-M),Amount Outstanding (N-M),Amount Outstanding-(US$-M),Amount Outstanding-(N-M),% of Total,Unnamed: 5,Unnamed: 2,Amount-Outstanding,Unnamed: 8,Unnamed: 10,Amount-Outstanding-(N-M),filename,debt_cat,amt_in_USD_inM,amt_in_NGN_inM
209,2,Total,48361.37,7532283.52,,,,,,,,,,,,,,,,,,,,,57.csv,48361.37,,
210,0,A.,External Debt Stock (FGN + States),9711.45,1631523.60,,,,,,,,,,,,,,,,,,,,58.csv,External Debt Stock (FGN + States),,
211,1,,Domestic Debt Stock (FGN Only),47047.77,7904025.47,,,,,,,,,,,,,,,,,,,,58.csv,,,
212,2,,Sub-Total,56759.22,9535549.07,,,,,,,,,,,,,,,,,,,,58.csv,,,
213,3,B.,,,,,,,,,,,,,,,,,,,,,,,58.csv,,,
214,4,,Domestic Debt of States,10967.06,1707571.14,,,,,,,,,,,,,,,,,,,,58.csv,,,
215,5,C.,,,,,,,,,,,,,,,,,,,,,,,58.csv,,,
216,6,Grand-Total (A+B),67726.28,11243120.22,,,,,,,,,,,,,,,,,,,,,58.csv,Grand-Total (A+B),67726.28,11243120.22
217,0,A.,External Debt Stock (FGN + States),9711.45,1631523.60,,,,,,,,,,,,,,,,,,,,59.csv,External Debt Stock (FGN + States),,
218,1,,Domestic Debt Stock (FGN Only),47047.77,7904025.47,,,,,,,,,,,,,,,,,,,,59.csv,,,
219,2,,Sub-Total,56759.22,9535549.07,,,,,,,,,,,,,,,,,,,,59.csv,,,
220,3,B.,,,,,,,,,,,,,,,,,,,,,,,59.csv,,,
221,4,,Domestic Debt of States,10967.06,1707571.14,,,,,,,,,,,,,,,,,,,,59.csv,,,
222,5,C.,,,,,,,,,,,,,,,,,,,,,,,59.csv,,,
223,6,Grand-Total (A+B),67726.28,11243120.22,,,,,,,,,,,,,,,,,,,,,59.csv,Grand-Total (A+B),67726.28,11243120.22
224,0,A.,External Debt Stock (FGN + States),10718.43,2111530.71,,,,,,,,,,,,,,,,,,,,60.csv,External Debt Stock (FGN + States),,
225,1,,Domestic Debt Stock (FGN Only),44857.85,8836995.86,,,,,,,,,,,,,,,,,,,,60.csv,,,
226,2,,Sub-Total,55576.28,10948526.57,,,,,,,,,,,,,,,,,,,,60.csv,,,
227,3,B.,,,,,,,,,,,,,,,,,,,,,,,60.csv,,,
228,4,,Domestic Debt of States*,9852.25,1655178.71,,,,,,,,,,,,,,,,,,,,60.csv,,,
229,5,C.,,,,,,,,,,,,,,,,,,,,,,,60.csv,,,
230,6,Grand-Total (A+B),65428.53,12603705.28,,,,,,,,,,,,,,,,,,,,,60.csv,Grand-Total (A+B),65428.53,12603705.28
231,0,A.,External Debt Stock (FGN + States),,1373569.83,8821.90,,,,,,,,,,,,,,,,,,,61.csv,External Debt Stock (FGN + States),,
232,1,,Domestic Debt Stock (FGN Only),,7118978.86,45722.41,,,,,,,,,,,,,,,,,,,61.csv,,,
233,2,,Sub-Total,,8492548.69,54544.31,,,,,,,,,,,,,,,,,,,61.csv,,,
234,3,B.,,,,,,,,,,,,,,,,,,,,,,,61.csv,,,
235,4,,Domestic Debt of States*,,1551650.13,9965.64,,,,,,,,,,,,,,,,,,,61.csv,,,
236,5,C.,,,,,,,,,,,,,,,,,,,,,,,61.csv,,,
237,6,Grand-Total (A+B),64509.95,,,10044198.82,,,,,,,,,,,,,,,,,,,61.csv,Grand-Total (A+B),64509.95,10044198.82
238,0,A.,External Debt Stock (FGN + States),9464.11,1864429.67,,,,,,,,,,,,,,,,,,,,62.csv,External Debt Stock (FGN + States),,
239,1,,Domestic Debt Stock (FGN Only),43185.51,8507545.47,,,,,,,,,,,,,,,,,,,,62.csv,,,
240,2,,Sub-Total,52649.62,10371975.14,,,,,,,,,,,,,,,,,,,,62.csv,,,
